Names,"Elastic (Young's, Tensile) Modulus",Elongation at Break,Poisson's Ratio,Shear Modulus,Tensile Strength: Ultimate (UTS),Tensile Strength: Yield (Proof),Latent Heat of Fusion,Melting Completion (Liquidus),Melting Onset (Solidus),Specific Heat Capacity,Thermal Conductivity,Thermal Expansion,Electrical Conductivity: Equal Volume,Electrical Conductivity: Equal Weight (Specific),Base Metal Price,Density,Embodied Carbon,Embodied Energy,Embodied Water,Resilience: Ultimate (Unit Rupture Work),Resilience: Unit (Modulus of Resilience),Stiffness to Weight: Axial,Stiffness to Weight: Bending,Strength to Weight: Axial,Strength to Weight: Bending,Thermal Diffusivity,Thermal Shock Resistance,Iron (Fe)Fe,Nickel (Ni)Ni,Manganese (Mn)Mn,Molybdenum (Mo)Mo,Silicon (Si)Si,Copper (Cu)Cu,Carbon (C)C,Chromium (Cr)Cr,Vanadium (V)V,Phosphorus (P)P,Sulfur (S)S,Residualsres.,PREN (Pitting Resistance),Niobium (Nb)Nb,Nitrogen (N)N,Aluminum (Al)Al,Titanium (Ti)Ti,Zirconium (Zr)Zr,Brinell Hardness,Fatigue Strength,Reduction in Area,Maximum Temperature: Mechanical,Impact Strength: V-Notched Charpy,Tungsten (W)W,Maximum Temperature: Corrosion,Selenium (Se)Se,Cobalt (Co)Co,Magnesium (Mg)Mg,Tin (Sn)Sn,Arsenic (As)As,Fracture Toughness,Shear Strength,Compressive (Crushing) Strength,Curie Temperature,Rockwell C Hardness,Calcium (Ca)Ca,Boron (B)B,Oxygen (O)O,Rockwell B Hardness,Calomel Potential,Tantalum (Ta)Ta,Cerium (Ce)Ce,Lanthanum (La)La,Lead (Pb)Pb,Zinc (Zn)Zn
SAE-AISI-1090-1.1273-G10900-Carbon-Steel,190,11,0.29,72,790 to 950,520 to 610,240,1450,1410,470,50,12,7.1,8.2,1.8,7.8,1.4,19,46,82 to 91,730 to 1000,13,24,28 to 34,24 to 27,13,25 to 31,98 to 98.6,NA,0.6 to 0.9,NA,NA,NA,0.85 to 1.0,NA,NA,0 to 0.040,0 to 0.050,NA,NA,NA,NA,NA,NA,NA,220 to 280,320 to 380,28 to 45,400,NA,NA,NA,NA,NA,NA,NA,NA,NA,470 to 570,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SAE-AISI-1095-SUP4-1.1274-C100S-G10950-Carbon-Steel,190,10 to 11,0.29,72,680 to 900,500 to 590,240,1450,1410,470,47,12,9.6,11,1.8,7.8,1.4,19,45,63 to 84,660 to 930,13,24,24 to 32,22 to 26,13,22 to 29,98.4 to 98.8,NA,0.3 to 0.5,NA,NA,NA,0.9 to 1.0,NA,NA,0 to 0.040,0 to 0.050,NA,NA,NA,NA,NA,NA,NA,200 to 270,310 to 370,28 to 45,400,NA,NA,NA,NA,NA,NA,NA,NA,NA,400 to 540,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AISI-312-S31200-Stainless-Steel,200,28,0.27,80,780,510,300,1430,1390,480,16,13,2.1,2.5,17,7.7,3.4,48,170,190,640,15,25,28,24,4.3,21,62.2 to 69.2,5.5 to 6.5,0 to 2.0,1.2 to 2.0,0 to 1.0,NA,0 to 0.030,24 to 26,NA,0 to 0.045,0 to 0.030,NA,33,NA,0.14 to 0.2,NA,NA,NA,250,370,56,1100,NA,NA,450,NA,NA,NA,NA,NA,NA,510,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AISI-329-S32900-Stainless-Steel,200,17,0.27,80,710,540,300,1440,1390,480,16,13,2,2.4,16,7.7,3.1,44,170,110,730,15,25,25,23,4.3,19,63.1 to 74,2.0 to 5.0,0 to 1.0,1.0 to 2.0,0 to 0.75,NA,0 to 0.080,23 to 28,NA,0 to 0.040,0 to 0.030,NA,30,NA,NA,NA,NA,NA,240,330,NA,1100,NA,NA,450,NA,NA,NA,NA,NA,NA,440,NA,NA,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EN-1.4062-X2CrNiN22-2-Stainless-Steel,200,23 to 34,0.27,79,770 to 800,530 to 600,290,1430,1380,480,15,13,2.1,2.4,12,7.7,2.6,37,150,170 to 230,690 to 910,14,25,28 to 29,24 to 25,4,21 to 22,69.3 to 77.3,1.0 to 2.9,0 to 2.0,0 to 0.45,0 to 1.0,NA,0 to 0.030,21.5 to 24,NA,0 to 0.040,0 to 0.010,NA,27,NA,0.16 to 0.28,NA,NA,NA,NA,410 to 420,NA,1030,NA,NA,440,NA,NA,NA,NA,NA,NA,510,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EN-1.4162-X2CrMnNiN21-5-1-Stainless-Steel,200,32,0.28,78,780,520,290,1420,1370,480,15,13,2.2,2.5,12,7.7,2.6,38,150,220,690,14,25,28,25,4,21,67.2 to 73.3,1.4 to 1.9,4.0 to 6.0,0.1 to 0.8,0 to 1.0,0.1 to 0.8,0 to 0.040,21 to 22,NA,0 to 0.040,0 to 0.015,NA,27,NA,0.2 to 0.25,NA,NA,NA,250,410,NA,1000,77,NA,430,NA,NA,NA,NA,NA,NA,520,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EN-1.4362-X2CrNiN23-4-Stainless-Steel,200,25,0.27,79,730,460,290,1420,1380,480,15,13,2.2,2.5,14,7.7,2.9,41,160,160,530,14,25,26,23,4,20,65.5 to 74.3,3.5 to 5.5,0 to 2.0,0.1 to 0.6,0 to 1.0,0.1 to 0.6,0 to 0.030,22 to 24.5,NA,0 to 0.035,0 to 0.015,NA,26,NA,0.050 to 0.2,NA,NA,NA,230,320,NA,1060,90,NA,440,NA,NA,NA,NA,NA,NA,470,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EN-1.4410-X2CrNiMoN25-7-4-Stainless-Steel,210,24,0.27,81,850,600,300,1450,1400,480,15,13,2.2,2.5,20,7.8,4,56,180,180,880,15,25,30,26,4,23,58.1 to 66.8,6.0 to 8.0,0 to 2.0,3.0 to 4.5,0 to 1.0,NA,0 to 0.030,24 to 26,NA,0 to 0.035,0 to 0.015,NA,42,NA,0.24 to 0.35,NA,NA,NA,260,410,NA,1100,90,NA,450,NA,NA,NA,NA,NA,NA,540,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EN-1.4424-X2CrNiMoSi18-5-3-Stainless-Steel,200,28,0.28,78,800,480 to 500,310,1430,1390,480,13,12,2.2,2.5,15,7.7,3.4,46,140,190 to 200,580 to 640,14,25,29,25,3.5,23,68.6 to 72.4,4.5 to 5.2,1.2 to 2.0,2.5 to 3.0,1.4 to 2.0,NA,0 to 0.030,18 to 19,NA,0 to 0.035,0 to 0.015,NA,29,NA,0.050 to 0.1,NA,NA,NA,230,350 to 370,NA,960,90 to 91,NA,420,NA,NA,NA,NA,NA,NA,520,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EN-1.4460-X3CrNiMoN27-5-2-Stainless-Steel,200,21,0.27,80,750,510,300,1430,1390,480,15,13,2.2,2.5,18,7.7,3.4,48,180,140,640,15,25,27,24,4,20,60.2 to 69.2,4.5 to 6.5,0 to 2.0,1.3 to 2.0,0 to 1.0,NA,0 to 0.050,25 to 28,NA,0 to 0.035,0 to 0.015,NA,34,NA,0.050 to 0.2,NA,NA,NA,220,330,NA,1100,83,NA,450,NA,NA,NA,NA,NA,NA,470,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EN-1.4462-X2CrNiMoN22-5-3-Stainless-Steel,200,26,0.27,80,780,520,300,1450,1400,480,15,13,2.2,2.5,17,7.8,3.6,49,160,180,670,14,25,28,24,4,21,63.7 to 71.9,4.5 to 6.5,0 to 2.0,2.5 to 3.5,0 to 1.0,NA,0 to 0.030,21 to 23,NA,0 to 0.035,0 to 0.015,NA,34,NA,0.1 to 0.22,NA,NA,NA,240,370,NA,1060,90,NA,430,NA,NA,NA,NA,NA,NA,500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EN-1.4477-X2CrNiMoN29-7-2-Stainless-Steel,210,22 to 23,0.27,81,880 to 930,620 to 730,300,1430,1380,480,13,13,2.2,2.5,20,7.7,3.7,52,190,180 to 190,940 to 1290,15,25,31 to 33,26 to 27,3.5,23 to 25,56.6 to 63.6,5.8 to 7.5,0.8 to 1.5,1.5 to 2.6,0 to 0.5,0 to 0.8,0 to 0.030,28 to 30,NA,0 to 0.030,0 to 0.015,NA,41,NA,0.3 to 0.4,NA,NA,NA,270,420 to 490,NA,1100,110,NA,460,NA,NA,NA,NA,NA,NA,550 to 580,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EN-1.4482-X2CrMnNiMoN21-5-3-Stainless-Steel,200,34,0.28,78,770 to 800,530 to 570,290,1420,1370,480,15,13,2.2,2.6,12,7.7,2.7,38,150,230 to 250,690 to 820,14,25,28 to 29,24 to 25,4,21 to 22,66.1 to 74.9,1.5 to 3.5,4.0 to 6.0,0.1 to 0.6,0 to 1.0,0 to 1.0,0 to 0.030,19.5 to 21.5,NA,0 to 0.035,0 to 0.030,NA,24,NA,0.050 to 0.2,NA,NA,NA,NA,420 to 450,NA,980,NA,NA,430,NA,NA,NA,NA,NA,NA,510 to 530,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EN-1.4501-X2CrNiMoCuWN25-7-4-Stainless-Steel,200,27,0.27,80,830,600,300,1460,1410,470,15,13,2.2,2.5,22,7.9,4.1,57,180,210,870,14,25,29,25,4,22,57.6 to 65.8,6.0 to 8.0,0 to 1.0,3.0 to 4.0,0 to 1.0,0.5 to 1.0,0 to 0.030,24 to 26,NA,0 to 0.035,0 to 0.015,NA,42,NA,0.2 to 0.3,NA,NA,NA,250,430,NA,1100,90,0.5 to 1.0,450,NA,NA,NA,NA,NA,NA,540,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EN-1.4507-X2CrNiMoCuN25-6-3-Stainless-Steel,200,25,0.27,80,840,590,300,1440,1390,470,15,13,2.2,2.5,21,7.8,4,55,180,190,850,14,25,30,25,4,23,56.4 to 65.8,6.0 to 8.0,0 to 2.0,3.0 to 4.0,0 to 0.7,1.0 to 2.5,0 to 0.030,24 to 26,NA,0 to 0.035,0 to 0.015,NA,41,NA,0.2 to 0.3,NA,NA,NA,230,410,NA,1100,90,NA,450,NA,NA,NA,NA,NA,NA,530,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EN-1.4655-X2CrNiCuN23-4-Stainless-Steel,200,23 to 25,0.27,78,720 to 730,450 to 480,290,1420,1370,480,15,13,2.2,2.5,15,7.7,2.9,41,160,150 to 160,510 to 580,14,25,26,23,4,20,63.6 to 73.4,3.5 to 5.5,0 to 2.0,0.1 to 0.6,0 to 1.0,1.0 to 3.0,0 to 0.030,22 to 24,NA,0 to 0.035,0 to 0.015,NA,26,NA,0.050 to 0.2,NA,NA,NA,NA,320,NA,1050,NA,NA,440,NA,NA,NA,NA,NA,NA,460,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EN-1.4658-X2CrNiMoCoN28-8-5-1-Stainless-Steel,210,28,0.27,81,900,730,300,1450,1400,470,16,13,NA,NA,25,7.8,4.5,61,200,240,1280,15,25,32,26,4.3,24,50.9 to 63.7,5.5 to 9.5,0 to 1.5,4.0 to 5.0,0 to 0.5,0 to 1.0,0 to 0.030,26 to 29,NA,0 to 0.035,0 to 0.010,NA,49,NA,0.3 to 0.5,NA,NA,NA,260,530,NA,1100,110,NA,460,NA,0.5 to 2.0,NA,NA,NA,NA,580,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EN-1.4662-X2CrNiMnMoCuN24-4-3-2-Stainless-Steel,200,28,0.27,79,810 to 830,580 to 620,290,1430,1380,480,15,13,2.2,2.5,16,7.7,3.2,45,170,210,840 to 940,15,25,29 to 30,25,3.9,22,62.6 to 70.2,3.0 to 4.5,2.5 to 4.0,1.0 to 2.0,0 to 0.7,0.1 to 0.8,0 to 0.030,23 to 25,NA,0 to 0.035,0 to 0.0050,NA,33,NA,0.2 to 0.3,NA,NA,NA,NA,430 to 450,NA,1090,NA,NA,440,NA,NA,NA,NA,NA,NA,520 to 540,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EN-1.4669-X2CrCuNiN23-2-2-Stainless-Steel,200,28,0.27,78,780,450,290,1420,1370,480,15,13,2.2,2.5,13,7.7,2.6,38,160,190,510,14,25,28,24,4,21,65.2 to 74.8,1.0 to 3.0,1.0 to 3.0,0 to 0.5,0 to 1.0,1.6 to 3.0,0 to 0.045,21.5 to 24,NA,0 to 0.040,0 to 0.030,NA,26,NA,0.12 to 0.2,NA,NA,NA,260,330,NA,1030,110,NA,440,NA,NA,NA,NA,NA,NA,500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EN-1.4821-X15CrNiSi25-4-Stainless-Steel,200,18,0.27,79,730,450,310,1410,1370,490,17,12,1.9,2.3,15,7.6,2.9,41,160,110,500,15,26,26,23,4.6,21,64.2 to 71.1,3.5 to 5.5,0 to 2.0,NA,0.8 to 1.5,NA,0.1 to 0.2,24.5 to 26.5,NA,0 to 0.040,0 to 0.015,NA,26,NA,0 to 0.1,NA,NA,NA,200,280,NA,1100,NA,NA,450,NA,NA,NA,NA,NA,NA,450,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EN-1.4877-X6NiCrNbCe32-27-Stainless-Steel,200,36,0.28,79,630,200,310,1400,1360,470,12,15,1.8,2,37,8,6.2,89,220,180,100,14,24,22,20,3.2,15,36.4 to 42.3,31 to 33,0 to 1.0,NA,0 to 0.3,NA,0.040 to 0.080,26 to 28,NA,0 to 0.020,0 to 0.010,NA,28,0.6 to 1.0,0 to 0.1,0 to 0.025,NA,NA,190,170,NA,1150,NA,NA,560,NA,NA,NA,NA,NA,NA,420,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.050 to 0.1,NA,NA,NA
EN-1.4887-X10NiCrSiNb35-22-Stainless-Steel,200,45,0.28,76,580,300,320,1390,1350,480,12,15,1.7,1.9,39,8,6.7,96,210,220,230,14,24,20,19,3.2,14,34.2 to 45,33 to 37,0 to 2.0,NA,1.0 to 2.0,NA,0 to 0.15,20 to 23,NA,0 to 0.030,0 to 0.015,NA,22,1.0 to 1.5,0 to 0.1,NA,NA,NA,170,280,NA,1100,NA,NA,600,NA,NA,NA,NA,NA,NA,400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EN-1.4901-X10CrWMoVNb9-2-Stainless-Steel,190,19,0.28,76,740,490,260,1490,1450,470,26,12,8.2,9.3,11,7.9,2.8,40,89,120,620,14,24,26,23,6.9,23,85.8 to 89.1,0 to 0.4,0.3 to 0.6,0.3 to 0.6,0 to 0.5,NA,0.070 to 0.13,8.5 to 9.5,0.15 to 0.25,0 to 0.020,0 to 0.010,NA,14,0.040 to 0.090,0.030 to 0.070,0 to 0.020,0 to 0.010,0 to 0.010,NA,310,NA,650,38,1.5 to 2.0,380,NA,NA,NA,NA,NA,NA,460,NA,NA,NA,NA,0.0010 to 0.0060,NA,NA,NA,NA,NA,NA,NA,NA
UNS-S31100-XM-26-Stainless-Steel,200,4.5,0.27,79,1000,710,300,1420,1380,480,16,13,2,2.4,16,7.7,3.1,44,170,40,1240,14,25,36,29,4.2,28,63.6 to 69,6.0 to 7.0,0 to 1.0,NA,0 to 1.0,NA,0 to 0.060,25 to 27,NA,0 to 0.045,0 to 0.030,NA,26,NA,NA,NA,0 to 0.25,NA,270,330,NA,1100,NA,NA,470,NA,NA,NA,NA,NA,NA,580,NA,NA,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UNS-S31260-Stainless-Steel,200,23,0.27,80,790,540,300,1450,1400,480,16,13,2.2,2.5,20,7.8,3.9,53,180,160,720,15,25,28,24,4.3,22,59.6 to 67.6,5.5 to 7.5,0 to 1.0,2.5 to 3.5,0 to 0.75,0.2 to 0.8,0 to 0.030,24 to 26,NA,0 to 0.030,0 to 0.030,NA,39,NA,0.1 to 0.3,NA,NA,NA,260,370,NA,1100,NA,0.1 to 0.5,450,NA,NA,NA,NA,NA,NA,500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UNS-S31803-Stainless-Steel,200,29,0.27,80,710,500,300,1450,1400,480,16,13,2.2,2.5,17,7.8,3.6,49,160,180,630,14,25,25,23,4.3,20,63.7 to 71.9,4.5 to 6.5,0 to 2.0,2.5 to 3.5,0 to 1.0,NA,0 to 0.030,21 to 23,NA,0 to 0.030,0 to 0.020,NA,34,NA,0.080 to 0.2,NA,NA,NA,260,370,50,1060,NA,NA,430,NA,NA,NA,NA,NA,NA,460,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UNS-S32001-Stainless-Steel,200,28,0.28,78,690,510,290,1420,1370,480,15,13,2.2,2.6,12,7.7,2.6,37,150,180,660,14,25,25,23,4,19,66.6 to 75.5,1.0 to 3.0,4.0 to 6.0,0 to 0.6,0 to 1.0,0 to 1.0,0 to 0.030,19.5 to 21.5,NA,0 to 0.040,0 to 0.030,NA,23,NA,0.050 to 0.17,NA,NA,NA,NA,370,NA,970,NA,NA,430,NA,NA,NA,NA,NA,NA,450,NA,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UNS-S32003-Stainless-Steel,200,28,0.27,79,730,510,290,1440,1400,480,15,13,2.2,2.5,14,7.8,3,42,150,180,660,14,25,26,23,4,21,68.2 to 75.9,3.0 to 4.0,0 to 2.0,1.5 to 2.0,0 to 1.0,NA,0 to 0.030,19.5 to 22.5,NA,0 to 0.030,0 to 0.020,NA,29,NA,0.14 to 0.2,NA,NA,NA,250,370,NA,1010,NA,NA,430,NA,NA,NA,NA,NA,NA,480,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UNS-S32101-Stainless-Steel,200,34,0.28,78,740,500,290,1420,1370,480,15,13,2.2,2.5,12,7.7,2.6,38,150,230,640,14,25,27,24,4,20,67.3 to 73.3,1.4 to 1.7,4.0 to 6.0,0.1 to 0.8,0 to 1.0,0.1 to 0.8,0 to 0.040,21 to 22,NA,0 to 0.040,0 to 0.030,NA,27,NA,0.2 to 0.25,NA,NA,NA,260,400,NA,1000,NA,NA,430,NA,NA,NA,NA,NA,NA,490,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UNS-S32202-Stainless-Steel,200,34,0.27,79,730,510,290,1430,1380,480,15,13,2.1,2.4,12,7.7,2.6,37,150,220,650,14,25,27,24,4,20,69.4 to 77.3,1.0 to 2.8,0 to 2.0,0 to 0.45,0 to 1.0,NA,0 to 0.030,21.5 to 24,NA,0 to 0.040,0 to 0.010,NA,27,NA,0.18 to 0.26,NA,NA,NA,250,400,NA,1030,NA,NA,440,NA,NA,NA,NA,NA,NA,490,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UNS-S32205-Stainless-Steel,200,28,0.27,80,740,510,300,1450,1400,480,15,13,2.2,2.5,18,7.8,3.7,50,160,190,630,14,25,26,23,4,20,63.7 to 70.4,4.5 to 6.5,0 to 2.0,3.0 to 3.5,0 to 1.0,NA,0 to 0.030,22 to 23,NA,0 to 0.030,0 to 0.020,NA,36,NA,0.14 to 0.2,NA,NA,NA,260,370,51,1070,NA,NA,440,NA,NA,NA,NA,NA,NA,480,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UNS-S32304-Alloy-2304-Stainless-Steel,200,28,0.27,79,670,460,290,1420,1380,480,15,13,2.2,2.5,14,7.7,2.8,40,160,170,520,14,25,24,22,4,18,65 to 75.4,3.0 to 5.5,0 to 2.5,0.050 to 0.6,0 to 1.0,0.050 to 0.6,0 to 0.030,21.5 to 24.5,NA,0 to 0.040,0 to 0.030,NA,26,NA,0.050 to 0.2,NA,NA,NA,250,330,NA,1050,NA,NA,440,NA,NA,NA,NA,NA,NA,440,NA,NA,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UNS-S32506-Stainless-Steel,200,21,0.27,81,710,500,300,1450,1400,480,16,13,2.2,2.5,20,7.8,3.9,54,180,130,620,15,25,25,23,4.3,19,60.8 to 67.4,5.5 to 7.2,0 to 1.0,3.0 to 3.5,0 to 0.9,NA,0 to 0.030,24 to 26,NA,0 to 0.040,0 to 0.015,NA,38,NA,0.080 to 0.2,NA,NA,NA,270,330,NA,1100,NA,0.050 to 0.3,450,NA,NA,NA,NA,NA,NA,440,NA,NA,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UNS-S32520-Stainless-Steel,200,28,0.27,80,860,630,300,1440,1400,480,15,13,2.2,2.5,20,7.8,4,55,180,220,960,14,25,31,26,4.1,24,57.3 to 66.8,5.5 to 8.0,0 to 1.5,3.0 to 4.0,0 to 0.8,0.5 to 2.0,0 to 0.030,24 to 26,NA,0 to 0.035,0 to 0.020,NA,41,NA,0.2 to 0.35,NA,NA,NA,270,460,46,1100,NA,NA,450,NA,NA,NA,NA,NA,NA,560,NA,NA,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UNS-S32550-Alloy-255-Stainless-Steel,200,21,0.27,80,860,620,300,1440,1390,480,16,13,2.2,2.5,20,7.8,3.8,53,180,160,940,14,25,31,26,4.4,23,57.2 to 67,4.5 to 6.5,0 to 1.5,2.9 to 3.9,0 to 1.0,1.5 to 2.5,0 to 0.040,24 to 27,NA,0 to 0.040,0 to 0.030,NA,40,NA,0.1 to 0.25,NA,NA,NA,260,400,57,1100,NA,NA,450,NA,NA,NA,NA,NA,NA,540,NA,NA,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UNS-S32750-Alloy-2507-Stainless-Steel,210,17,0.27,81,860,590,300,1450,1400,480,15,12,2.2,2.5,21,7.8,4.1,56,180,130,860,15,25,31,26,4,25,58.1 to 66.8,6.0 to 8.0,0 to 1.2,3.0 to 5.0,0 to 0.8,0 to 0.5,0 to 0.030,24 to 26,NA,0 to 0.035,0 to 0.020,NA,43,NA,0.24 to 0.32,NA,NA,NA,270,360,NA,1100,NA,NA,450,NA,NA,NA,NA,NA,NA,530,NA,NA,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UNS-S32760-F55-Stainless-Steel,200,28,0.27,80,850,620,300,1460,1410,470,15,13,2.2,2.5,22,7.9,4.1,57,180,220,930,14,25,30,25,4,23,57.6 to 65.8,6.0 to 8.0,0 to 1.0,3.0 to 4.0,0 to 1.0,0.5 to 1.0,0 to 0.030,24 to 26,NA,0 to 0.030,0 to 0.010,NA,42,NA,0.2 to 0.3,NA,NA,NA,250,450,51,1100,NA,0.5 to 1.0,450,NA,NA,NA,NA,NA,NA,550,NA,NA,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UNS-S32808-Stainless-Steel,210,17,0.27,81,780,570,300,1470,1420,480,14,13,2.2,2.4,24,7.9,4,57,180,120,790,14,25,27,24,3.8,21,58.1 to 62.8,7.0 to 8.2,0 to 1.1,0.8 to 1.2,0 to 0.5,NA,0 to 0.030,27 to 27.9,NA,0 to 0.030,0 to 0.010,NA,40,NA,0.3 to 0.4,NA,NA,NA,270,350,NA,1100,NA,2.1 to 2.5,460,NA,NA,NA,NA,NA,NA,480,NA,NA,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UNS-S32906-Stainless-Steel,210,28,0.27,81,850,620,300,1430,1380,480,13,13,2.2,2.5,20,7.7,3.7,52,190,220,950,15,25,30,26,3.6,23,56.6 to 63.6,5.8 to 7.5,0.8 to 1.5,1.5 to 2.6,0 to 0.5,0 to 0.8,0 to 0.030,28 to 30,NA,0 to 0.030,0 to 0.030,NA,41,NA,0.3 to 0.4,NA,NA,NA,270,460,NA,1100,NA,NA,460,NA,NA,NA,NA,NA,NA,550,NA,NA,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UNS-S32950-Stainless-Steel,200,17,0.27,80,780,550,300,1430,1390,480,16,13,2.1,2.5,17,7.7,3.4,47,180,120,730,15,25,28,24,4.3,21,60.3 to 69.4,3.5 to 5.2,0 to 2.0,1.0 to 2.5,0 to 0.6,NA,0 to 0.030,26 to 29,NA,0 to 0.035,0 to 0.010,NA,37,NA,0.15 to 0.35,NA,NA,NA,260,330,NA,1100,NA,NA,460,NA,NA,NA,NA,NA,NA,480,NA,NA,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UNS-S39274-Stainless-Steel,210,17,0.27,81,900,620,300,1480,1430,470,16,13,2.2,2.4,24,8,4.3,60,180,140,940,14,25,32,26,4.2,25,57 to 65.6,6.0 to 8.0,0 to 1.0,2.5 to 3.5,0 to 0.8,0.2 to 0.8,0 to 0.030,24 to 26,NA,0 to 0.030,0 to 0.020,NA,43,NA,0.24 to 0.32,NA,NA,NA,270,380,34,1100,NA,1.5 to 2.5,450,NA,NA,NA,NA,NA,NA,560,NA,NA,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UNS-S39277-Stainless-Steel,200,28,0.27,80,930,660,300,1460,1410,470,16,13,2.2,2.5,23,7.9,4.2,59,180,240,1070,14,25,33,27,4.2,26,56.8 to 64.3,6.5 to 8.0,0 to 0.8,3.0 to 4.0,0 to 0.8,1.2 to 2.0,0 to 0.025,24 to 26,NA,0 to 0.025,0 to 0.0020,NA,43,NA,0.23 to 0.33,NA,NA,NA,250,480,57,1100,NA,0.8 to 1.2,450,NA,NA,NA,NA,NA,NA,600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UNS-S81921-Stainless-Steel,200,29,0.28,79,710,500,290,1430,1390,480,15,13,2.2,2.5,14,7.7,2.9,41,150,180,630,14,25,25,23,4,20,66.7 to 75.9,2.0 to 4.0,2.0 to 4.0,1.0 to 2.0,0 to 1.0,NA,0 to 0.030,19 to 22,NA,0 to 0.040,0 to 0.030,NA,28,NA,0.14 to 0.2,NA,NA,NA,260,370,NA,990,NA,NA,430,NA,NA,NA,NA,NA,NA,460,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UNS-S82011-Stainless-Steel,200,34,0.27,78,730,510,290,1420,1380,480,15,13,2.2,2.5,12,7.7,2.6,37,150,220,660,14,25,27,24,4,20,68.6 to 76.3,1.0 to 2.0,2.0 to 3.0,0.1 to 1.0,0 to 1.0,0 to 0.5,0 to 0.030,20.5 to 23.5,NA,0 to 0.040,0 to 0.020,NA,27,NA,0.15 to 0.27,NA,NA,NA,250,410,NA,1010,NA,NA,430,NA,NA,NA,NA,NA,NA,490,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UNS-S82012-Stainless-Steel,200,40,0.28,78,800,560,280,1430,1380,480,15,13,2.2,2.5,11,7.7,2.4,35,140,290,790,14,25,29,25,3.9,23,71.3 to 77.9,0.8 to 1.5,2.0 to 4.0,0.1 to 0.6,0 to 0.8,0 to 1.0,0 to 0.050,19 to 20.5,NA,0 to 0.040,0 to 0.0050,NA,24,NA,0.16 to 0.26,NA,NA,NA,NA,480,NA,950,NA,NA,420,NA,NA,NA,NA,NA,NA,550,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
